,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
696,-121.97,37.64,32.0,1283.0,194.0,485.0,171.0,6.0574,431000.0,0.0
854,-121.96,37.58,15.0,3575.0,597.0,1777.0,559.0,5.7192,283500.0,0.0
856,-121.99,37.58,31.0,2878.0,478.0,1276.0,485.0,6.2073,282500.0,0.0
857,-122.0,37.58,6.0,4405.0,717.0,2071.0,688.0,5.8151,295600.0,0.0
882,-121.94,37.56,15.0,5674.0,748.0,2412.0,714.0,8.3996,442900.0,0.0
883,-121.95,37.55,21.0,10687.0,1540.0,4552.0,1520.0,6.6478,333400.0,0.0
884,-121.93,37.54,25.0,1354.0,192.0,596.0,220.0,6.629,352400.0,0.0
885,-121.94,37.54,27.0,3715.0,526.0,1631.0,538.0,6.2179,305300.0,0.0
886,-121.94,37.53,33.0,2095.0,342.0,941.0,304.0,5.761,259600.0,0.0
888,-121.94,37.54,31.0,2537.0,382.0,1067.0,410.0,6.7599,356000.0,0.0
895,-121.97,37.53,26.0,2506.0,387.0,1273.0,406.0,5.4299,236400.0,0.0
898,-121.99,37.54,26.0,2332.0,371.0,1285.0,404.0,5.388,225000.0,0.0
900,-121.99,37.54,28.0,3046.0,507.0,1772.0,516.0,5.3283,227900.0,0.0
902,-122.0,37.54,29.0,4133.0,744.0,2023.0,749.0,5.1616,275100.0,0.0
906,-122.0,37.54,26.0,1910.0,371.0,852.0,357.0,5.8325,298900.0,0.0
908,-121.99,37.53,25.0,5405.0,939.0,2831.0,923.0,5.0423,222200.0,0.0
910,-121.97,37.51,25.0,3333.0,511.0,1671.0,504.0,5.4359,258300.0,0.0
911,-121.97,37.52,23.0,4925.0,948.0,2530.0,894.0,5.0824,230900.0,0.0
912,-121.95,37.52,33.0,3994.0,764.0,2721.0,763.0,5.2308,196900.0,0.0
914,-121.96,37.52,26.0,4211.0,741.0,2352.0,734.0,5.2396,223900.0,0.0
916,-121.92,37.53,7.0,28258.0,3864.0,12203.0,3701.0,8.4045,451100.0,0.0
917,-121.89,37.49,9.0,4909.0,577.0,1981.0,591.0,9.7194,500001.0,0.0
918,-121.92,37.49,10.0,7441.0,1588.0,3571.0,1466.0,5.1643,193100.0,0.0
919,-121.92,37.48,23.0,4314.0,676.0,1972.0,623.0,5.3813,264400.0,0.0
920,-121.92,37.47,26.0,2016.0,322.0,1105.0,357.0,6.0878,246900.0,0.0
921,-121.91,37.47,13.0,5377.0,744.0,2759.0,760.0,6.868,337300.0,0.0
940,-121.92,37.72,4.0,7477.0,1576.0,2937.0,1506.0,5.1437,299400.0,0.0
941,-121.92,37.72,22.0,4638.0,716.0,2302.0,687.0,5.347,219500.0,0.0
942,-121.91,37.71,25.0,4377.0,668.0,2038.0,671.0,5.7233,231800.0,0.0
