,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
696,-121.97,37.64,32.0,1283.0,194.0,485.0,171.0,6.0574,431000.0,0.0
824,-121.99,37.61,9.0,3666.0,711.0,2341.0,703.0,4.6458,217000.0,0.0
853,-121.97,37.57,21.0,4342.0,783.0,2172.0,789.0,4.6146,247600.0,0.0
854,-121.96,37.58,15.0,3575.0,597.0,1777.0,559.0,5.7192,283500.0,0.0
855,-121.98,37.58,20.0,4126.0,1031.0,2079.0,975.0,3.6832,216900.0,0.0
856,-121.99,37.58,31.0,2878.0,478.0,1276.0,485.0,6.2073,282500.0,0.0
857,-122.0,37.58,6.0,4405.0,717.0,2071.0,688.0,5.8151,295600.0,0.0
864,-121.93,37.49,5.0,1150.0,311.0,648.0,245.0,3.5714,300000.0,0.0
874,-121.99,37.56,18.0,5505.0,1005.0,2641.0,971.0,5.0,269700.0,0.0
875,-121.99,37.56,20.0,6462.0,1294.0,3288.0,1235.0,4.3393,231200.0,0.0
876,-121.96,37.55,4.0,3746.0,993.0,1606.0,838.0,4.1387,162500.0,0.0
877,-121.97,37.56,13.0,8918.0,1823.0,4518.0,1772.0,4.8052,254000.0,0.0
878,-121.97,37.54,31.0,1949.0,344.0,986.0,322.0,4.6349,196200.0,0.0
879,-121.97,37.55,17.0,4924.0,1247.0,3080.0,1182.0,3.168,189400.0,0.0
880,-121.98,37.54,17.0,5133.0,1375.0,3386.0,1339.0,3.1326,220800.0,0.0
881,-121.99,37.55,16.0,6647.0,2098.0,4649.0,1903.0,2.9074,213800.0,0.0
882,-121.94,37.56,15.0,5674.0,748.0,2412.0,714.0,8.3996,442900.0,0.0
883,-121.95,37.55,21.0,10687.0,1540.0,4552.0,1520.0,6.6478,333400.0,0.0
884,-121.93,37.54,25.0,1354.0,192.0,596.0,220.0,6.629,352400.0,0.0
885,-121.94,37.54,27.0,3715.0,526.0,1631.0,538.0,6.2179,305300.0,0.0
886,-121.94,37.53,33.0,2095.0,342.0,941.0,304.0,5.761,259600.0,0.0
887,-121.95,37.54,29.0,3517.0,645.0,1724.0,585.0,4.6641,248900.0,0.0
888,-121.94,37.54,31.0,2537.0,382.0,1067.0,410.0,6.7599,356000.0,0.0
889,-121.96,37.54,14.0,5106.0,1207.0,2738.0,1108.0,3.9909,236000.0,0.0
890,-121.96,37.53,23.0,2215.0,475.0,1278.0,492.0,4.2955,218800.0,0.0
891,-121.96,37.53,28.0,2949.0,529.0,1538.0,545.0,4.9615,228000.0,0.0
892,-121.96,37.53,18.0,2375.0,652.0,1252.0,586.0,2.6198,235900.0,0.0
893,-121.97,37.54,28.0,2312.0,496.0,1344.0,467.0,4.7135,203200.0,0.0
894,-121.97,37.53,35.0,2277.0,420.0,1353.0,413.0,4.75,197000.0,0.0
895,-121.97,37.53,26.0,2506.0,387.0,1273.0,406.0,5.4299,236400.0,0.0
896,-121.98,37.53,28.0,2829.0,566.0,1610.0,540.0,4.6,223200.0,0.0
897,-121.98,37.53,26.0,3179.0,703.0,2142.0,639.0,4.1947,222700.0,0.0
898,-121.99,37.54,26.0,2332.0,371.0,1285.0,404.0,5.388,225000.0,0.0
899,-121.99,37.54,18.0,3584.0,715.0,1673.0,661.0,3.9444,240100.0,0.0
900,-121.99,37.54,28.0,3046.0,507.0,1772.0,516.0,5.3283,227900.0,0.0
901,-121.99,37.55,28.0,2414.0,415.0,1106.0,453.0,4.8403,268600.0,0.0
902,-122.0,37.54,29.0,4133.0,744.0,2023.0,749.0,5.1616,275100.0,0.0
904,-122.0,37.55,27.0,6103.0,1249.0,3026.0,1134.0,4.1591,332400.0,0.0
906,-122.0,37.54,26.0,1910.0,371.0,852.0,357.0,5.8325,298900.0,0.0
908,-121.99,37.53,25.0,5405.0,939.0,2831.0,923.0,5.0423,222200.0,0.0
909,-121.97,37.52,26.0,3761.0,623.0,1776.0,613.0,4.5317,232600.0,0.0
910,-121.97,37.51,25.0,3333.0,511.0,1671.0,504.0,5.4359,258300.0,0.0
911,-121.97,37.52,23.0,4925.0,948.0,2530.0,894.0,5.0824,230900.0,0.0
912,-121.95,37.52,33.0,3994.0,764.0,2721.0,763.0,5.2308,196900.0,0.0
913,-121.96,37.51,22.0,5811.0,1125.0,3215.0,1086.0,4.4107,223500.0,0.0
914,-121.96,37.52,26.0,4211.0,741.0,2352.0,734.0,5.2396,223900.0,0.0
915,-121.93,37.53,27.0,5532.0,973.0,2855.0,960.0,4.7478,243500.0,0.0
916,-121.92,37.53,7.0,28258.0,3864.0,12203.0,3701.0,8.4045,451100.0,0.0
917,-121.89,37.49,9.0,4909.0,577.0,1981.0,591.0,9.7194,500001.0,0.0
918,-121.92,37.49,10.0,7441.0,1588.0,3571.0,1466.0,5.1643,193100.0,0.0
919,-121.92,37.48,23.0,4314.0,676.0,1972.0,623.0,5.3813,264400.0,0.0
920,-121.92,37.47,26.0,2016.0,322.0,1105.0,357.0,6.0878,246900.0,0.0
921,-121.91,37.47,13.0,5377.0,744.0,2759.0,760.0,6.868,337300.0,0.0
939,-122.0,37.51,7.0,6352.0,1390.0,3223.0,1316.0,4.9867,181700.0,0.0
940,-121.92,37.72,4.0,7477.0,1576.0,2937.0,1506.0,5.1437,299400.0,0.0
941,-121.92,37.72,22.0,4638.0,716.0,2302.0,687.0,5.347,219500.0,0.0
942,-121.91,37.71,25.0,4377.0,668.0,2038.0,671.0,5.7233,231800.0,0.0
943,-121.93,37.72,26.0,3816.0,637.0,1935.0,642.0,4.4697,221300.0,0.0
944,-121.93,37.72,26.0,2806.0,459.0,1453.0,444.0,4.9107,213800.0,0.0
945,-121.93,37.71,26.0,4822.0,845.0,2288.0,805.0,4.2281,206000.0,0.0
946,-121.94,37.71,15.0,6473.0,1027.0,2484.0,970.0,5.0143,271100.0,0.0
947,-121.96,37.71,6.0,8072.0,1050.0,3386.0,1062.0,7.2494,336500.0,0.0
948,-121.92,37.64,46.0,1280.0,209.0,512.0,208.0,5.1406,315600.0,1.0
949,-121.93,37.66,24.0,3166.0,424.0,1081.0,400.0,8.3337,500001.0,0.0
950,-121.92,37.69,13.0,3742.0,555.0,1590.0,559.0,7.316,285400.0,0.0
951,-121.9,37.66,18.0,7397.0,1137.0,3126.0,1115.0,6.4994,323000.0,1.0
952,-121.92,37.68,23.0,1655.0,223.0,706.0,219.0,7.2211,291900.0,0.0
953,-121.93,37.7,3.0,2456.0,582.0,793.0,456.0,4.4087,225600.0,0.0
954,-121.91,37.69,23.0,2179.0,308.0,926.0,299.0,5.9345,259600.0,0.0
955,-121.91,37.68,20.0,1804.0,254.0,831.0,260.0,6.177,262900.0,0.0
956,-121.91,37.68,18.0,3631.0,547.0,1700.0,520.0,5.817,257300.0,0.0
957,-121.91,37.69,18.0,2876.0,423.0,1395.0,427.0,6.3132,259200.0,0.0
958,-121.89,37.68,12.0,7490.0,1207.0,3329.0,1136.0,6.3373,339700.0,0.0
959,-121.88,37.68,23.0,2234.0,270.0,854.0,286.0,7.333,337200.0,1.0
960,-121.89,37.68,22.0,1898.0,239.0,734.0,245.0,6.2918,334100.0,0.0
961,-121.88,37.67,16.0,4070.0,624.0,1543.0,577.0,6.5214,311500.0,1.0
962,-121.88,37.67,25.0,2244.0,301.0,937.0,324.0,6.4524,296900.0,1.0
963,-121.89,37.67,20.0,2948.0,471.0,1181.0,474.0,6.0604,247900.0,1.0
964,-121.89,37.67,19.0,2034.0,288.0,852.0,295.0,6.5285,300400.0,1.0
965,-121.9,37.67,15.0,2130.0,273.0,876.0,285.0,7.2639,332400.0,0.0
966,-121.9,37.67,7.0,9540.0,1294.0,3926.0,1229.0,7.4353,389800.0,0.0
967,-121.88,37.66,29.0,2702.0,680.0,1360.0,642.0,3.1127,233000.0,1.0
968,-121.87,37.66,39.0,522.0,116.0,161.0,102.0,2.4896,238500.0,1.0
969,-121.87,37.66,52.0,775.0,134.0,315.0,123.0,5.0677,233300.0,1.0
970,-121.89,37.66,3.0,1565.0,464.0,769.0,461.0,2.1187,231300.0,1.0
971,-121.88,37.64,20.0,1309.0,184.0,514.0,172.0,10.9506,475800.0,1.0
972,-121.87,37.57,13.0,5519.0,833.0,2444.0,825.0,7.0691,393200.0,0.0
973,-121.87,37.67,10.0,4337.0,800.0,1813.0,743.0,5.5,247200.0,1.0
974,-121.87,37.67,28.0,1812.0,294.0,853.0,278.0,4.9879,229400.0,1.0
975,-121.85,37.68,4.0,4719.0,741.0,1895.0,742.0,6.8132,282500.0,1.0
976,-121.85,37.66,14.0,4236.0,701.0,1833.0,663.0,5.6399,300600.0,1.0
977,-121.86,37.66,22.0,3634.0,664.0,1699.0,640.0,4.1597,293200.0,1.0
978,-121.87,37.66,27.0,1569.0,242.0,583.0,214.0,5.7519,278500.0,1.0
979,-121.84,37.66,13.0,13182.0,2074.0,4847.0,1950.0,5.6417,352900.0,1.0
980,-121.85,37.72,43.0,228.0,40.0,83.0,42.0,10.3203,400000.0,1.0
981,-121.82,37.73,47.0,127.0,23.0,51.0,21.0,4.3472,375000.0,1.0
982,-121.86,37.7,13.0,9621.0,1344.0,4389.0,1391.0,6.6827,313700.0,1.0
983,-121.89,37.69,4.0,6159.0,1510.0,2649.0,1241.0,3.62,139300.0,0.0
984,-121.77,37.65,16.0,4290.0,554.0,1952.0,576.0,7.3588,327500.0,1.0
985,-121.62,37.61,26.0,1786.0,306.0,771.0,279.0,5.7239,430600.0,1.0
986,-121.61,37.77,32.0,404.0,74.0,144.0,58.0,4.2083,125000.0,1.0
987,-121.72,37.7,17.0,1671.0,352.0,729.0,252.0,6.1023,450000.0,1.0
988,-121.73,37.71,12.0,5608.0,1049.0,2595.0,1067.0,3.9864,200200.0,1.0
989,-121.75,37.71,11.0,12070.0,2220.0,5826.0,2125.0,4.8624,192400.0,1.0
990,-121.77,37.74,25.0,494.0,81.0,254.0,85.0,9.1531,418800.0,1.0
991,-121.8,37.7,22.0,5533.0,943.0,2474.0,910.0,4.7361,216800.0,1.0
992,-121.8,37.69,17.0,3956.0,639.0,2222.0,662.0,5.4324,215500.0,1.0
993,-121.82,37.69,12.0,1906.0,351.0,802.0,319.0,4.9375,227700.0,1.0
994,-121.76,37.69,29.0,3433.0,711.0,1919.0,709.0,3.3841,184400.0,1.0
995,-121.77,37.68,36.0,1687.0,372.0,950.0,372.0,3.5532,158400.0,1.0
996,-121.78,37.69,34.0,2358.0,498.0,1157.0,461.0,3.3618,174600.0,1.0
997,-121.78,37.69,35.0,2853.0,588.0,1761.0,572.0,4.3533,168400.0,1.0
998,-121.79,37.69,25.0,6296.0,1082.0,3200.0,1047.0,4.5357,188400.0,1.0
999,-121.76,37.7,9.0,3980.0,736.0,1705.0,679.0,5.7068,256700.0,1.0
1000,-121.75,37.69,26.0,2647.0,536.0,1422.0,522.0,3.7212,183800.0,1.0
1001,-121.75,37.68,35.0,1755.0,299.0,702.0,263.0,5.2443,183400.0,1.0
1002,-121.76,37.68,35.0,1864.0,357.0,1189.0,349.0,4.2361,177500.0,1.0
1003,-121.76,37.68,32.0,1078.0,207.0,555.0,197.0,3.1856,186900.0,1.0
1004,-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,238900.0,1.0
1005,-121.78,37.68,17.0,3112.0,872.0,1392.0,680.0,3.0222,172500.0,1.0
1006,-121.77,37.68,44.0,495.0,112.0,277.0,109.0,2.6667,179200.0,1.0
1007,-121.76,37.68,52.0,2157.0,418.0,929.0,419.0,3.7301,204400.0,1.0
1008,-121.77,37.68,41.0,1501.0,299.0,629.0,288.0,4.6806,209400.0,1.0
1009,-121.77,37.67,20.0,8068.0,1217.0,3489.0,1259.0,5.7907,264200.0,1.0
1010,-121.76,37.67,6.0,3023.0,518.0,1225.0,468.0,6.3705,350000.0,1.0
1011,-121.78,37.67,26.0,2211.0,344.0,1024.0,321.0,5.2649,199800.0,1.0
1012,-121.79,37.67,26.0,2163.0,339.0,947.0,346.0,6.0797,211000.0,1.0
1013,-121.78,37.67,28.0,1773.0,278.0,804.0,269.0,4.8571,201100.0,1.0
