,index,answer,predict,score
0,81,False,True,0.840966353
1,79,False,True,0.800031319
2,185,False,True,0.793924854
3,195,False,True,0.793924854
4,180,False,True,0.606930645
5,62,True,True,0.58782582
6,104,False,True,0.53600829
7,20,False,True,0.5268505
8,124,False,True,0.5268505
9,28,False,True,0.517111404
10,13,False,True,0.514215876
11,89,False,True,0.465335528
12,140,False,True,0.46508243
13,184,False,True,0.447955038
14,56,False,True,0.447955038
15,57,False,True,0.447955038
16,123,False,True,0.447955038
17,25,False,True,0.447955038
18,27,False,True,0.447955038
19,128,False,True,0.410146627
20,117,False,True,0.410146627
21,73,False,True,0.408961657
22,4,False,True,0.407760393
23,115,False,True,0.395768219
24,59,False,True,0.391640759
25,47,False,True,0.389167425
26,149,False,True,0.385226941
27,93,False,True,0.379009528
28,164,False,True,0.372379323
29,160,False,True,0.365539772
30,34,False,True,0.31626564
31,133,False,True,0.303499385
32,17,False,True,0.303499385
33,111,False,True,0.303499385
34,16,False,True,0.303499385
35,3,False,True,0.303499385
36,155,False,True,0.303350775
37,150,False,True,0.30226631
38,94,False,True,0.301666539
39,24,True,True,0.301548523
40,135,False,True,0.301253378
41,50,False,True,0.301185871
42,179,False,False,0.294348723
43,61,False,False,0.277322436
44,38,False,False,0.277322436
45,118,False,False,0.277322436
46,122,False,False,0.277322436
47,5,False,False,0.277322436
48,6,False,False,0.277322436
49,11,False,False,0.277322436
